CATEGORY	NAME	EN_US	EN_GB	RU_RU	IT_IT	JA_JP	CS_CZ	TOK
block	copper_table	Copper Table		Медный Стол	Tavolo di rame		Měděný stůl	
block	gold_table	Golden Table		Золотой Стол	Tavolo d'oro		Zlatý stůl	
block	diamond_table	Diamond Table		Алмазный Стол	Tavolo di diamante		Diamantový stůl	
block	emerald_table	Emerald Table		Изумрудный Стол	Tavolo di smeraldo		Smaragdový stůl	
block	netherite_table	Netherite Table		Незеритовый Стол	Tavolo di netherite		Netheritový stůl	
block	oak_shelf	Oak Shelf		Дубовая Полка	Mensola di quercia	オークの壁掛け棚	Dubová police	
block	spruce_shelf	Spruce Shelf		Еловая Полка	Mensola di abete	トウヒの壁掛け棚	Smrková police	
block	birch_shelf	Birch Shelf		Берëзовая Полка	Mensola di betulla	シラカバの壁掛け棚	Březová police	
block	jungle_shelf	Jungle Shelf		Полка из тропического дерева	Mensola della giungla	ジャングルの壁掛け棚	Police z tropického dřeva	
block	acacia_shelf	Acacia Shelf		Акациевая Полка	Mensola di acacia	アカシアの壁掛け棚	Akáciová police	
block	bamboo_shelf	Bamboo Shelf		Полка из бамбука	Mensola di bambù		Bambusová police	
block	dark_oak_shelf	Dark Oak Shelf		Полка из тëмного дуба	Mensola di quercia scura	ダークオークの壁掛け棚	Police z tmavého dubu	
block	mangrove_shelf	Mangrove Shelf		Мангровая Полка	Mensola di mangrovia		Kořenovníková police	
block	cherry_shelf	Cherry Shelf		Вишнёвая Полка	Mensola di ciliegio		Třešňová police	
block	crimson_shelf	Crimson Shelf		Багровая Полка	Mensola cremisi	真紅の壁掛け棚	Karmínová police	
block	warped_shelf	Warped Shelf		Искажëнная Полка	Mensola distorta	歪んだ壁掛け棚	Přízračná police	
block	stone_shelf	Stone Shelf		Каменная Полка	Mensola di pietra	石の壁掛け棚	Kamenná police	
block	quartz_shelf	Quartz Shelf		Кварцевая Полка	Mensola di quarzo		Křemenná police	
block	deepslate_shelf	Deepslate Shelf		Глубинносланцевая Полка	Mensola di ardesia profonda		Břidlicová police	
block	iron_shelf	Iron Shelf		Железная Полка	Mensola di ferro		Železná police	
block	copper_shelf	Copper Shelf		Медная Полка	Mensola di rame		Měděná police	
block	gold_shelf	Golden Shelf		Золотая Полка	Mensola d'oro		Zlatá police	
block	diamond_shelf	Diamond Shelf		Алмазная Полка	Mensola di diamante		Diamantová police	
block	emerald_shelf	Emerald Shelf		Изумрудная Полка	Mensola di smeraldo		Smaragdová police	
block	netherite_shelf	Netherite Shelf		Незеритовая Полка	Mensola di netherite		Netheritová police	
block	oak_cabinet	Oak Cabinet		Дубовый Ящик	Comodino di quercia	オークのキャビネット	Dubová skříňka	
block	spruce_cabinet	Spruce Cabinet		Еловый Ящик	Comodino di abete	トウヒのキャビネット	Smrková skříňka	
block	birch_cabinet	Birch Cabinet		Берëзовый Ящик	Comodino di betulla	シラカバのキャビネット	Březová skříňka	
block	jungle_cabinet	Jungle Cabinet		Ящик из тропического дерева	Comodino della giungla	ジャングルのキャビネット	Skříňka z tropického dřeva	
block	acacia_cabinet	Acacia Cabinet		Акациевый Ящик	Comodino di acacia	アカシアのキャビネット	Akáciová skříňka	
block	bamboo_cabinet	Bamboo Cabinet		Ящик из бамбука	Comodino di bambù		Bambusová skříňka	
block	dark_oak_cabinet	Dark Oak Cabinet		Ящик из тëмного дуба	Comodino di quercia scura	ダークオークのキャビネット	Skříňka z tmavého dubu	
block	mangrove_cabinet	Mangrove Cabinet		Мангровый Ящик	Comodino di mangrovia		Kořenovníková skříňka	
block	cherry_cabinet	Cherry Cabinet		Вишнёвый Ящик	Comodino di ciliegio		Třešňová skříňka	
block	crimson_cabinet	Crimson Cabinet		Багровый Ящик	Comodino cremisi	真紅のキャビネット	Karmínová skříňka	
block	warped_cabinet	Warped Cabinet		Искажëнный Ящик	Comodino distorto	歪んだキャビネット	Přízračná skříňka	
block	stone_cabinet	Stone Cabinet		Каменный Ящик	Comodino di pietra	石のキャビネット	Kamenná skříňka	
block	quartz_cabinet	Quartz Cabinet		Кварцевый Ящик	Comodino di quarzo		Křemenná skříňka	
block	deepslate_cabinet	Deepslate Cabinet		Глубинносланцевый Ящик	Comodino di ardesia profonda		Břidlicová skříňka	
block	iron_cabinet	Iron Cabinet		Железный Ящик	Comodino di ferro		Železná skříňka	
block	copper_cabinet	Copper Cabinet		Медный Ящик	Comodino di rame		Měděná skříňka	
block	gold_cabinet	Golden Cabinet		Золотой Ящик	Comodino d'oro		Zlatá skříňka	
block	diamond_cabinet	Diamond Cabinet		Алмазный Ящик	Comodino di diamante		Diamantová skříňka	
block	emerald_cabinet	Emerald Cabinet		Изумрудный Ящик	Comodino di smeraldo		Smaragdová skříňka	
block	netherite_cabinet	Netherite Cabinet		Незеритовый Ящик	Comodino di netherite		Netheritová skříňka	
block	oak_drawer	Oak Drawer		Дубовая Тумба	Cassetto di quercia	オークの引き出し	Dubový šuplík	
block	spruce_drawer	Spruce Drawer		Еловая Тумба	Cassetto di abete	トウヒの引き出し	Smrkový šuplík	
block	birch_drawer	Birch Drawer		Берëзовая Тумба	Cassetto di betulla	シラカバの引き出し	Březový šuplík	
block	jungle_drawer	Jungle Drawer		Тумба из тропического дерева	Cassetto della giungla	ジャングルの引き出し	Šuplík z tropického dřeva	
block	acacia_drawer	Acacia Drawer		Акациевая Тумба	Cassetto di acacia	アカシアの引き出し	Akáciový šuplík	
block	bamboo_drawer	Bamboo Drawer		Тумба из бамбука	Cassetto di bambù		Bambusový šuplík	
block	dark_oak_drawer	Dark Oak Drawer		Тумба из тëмного дуба	Cassetto di quercia scura	ダークオークの引き出し	Šuplík z tmavého dubu	
block	mangrove_drawer	Mangrove Drawer		Мангровая Тумба	Cassetto di mangrovia		Kořenovníkový šuplík	
block	cherry_drawer	Cherry Drawer		Вишнёвая Тумба	Cassetto di ciliegio		Třešňový šuplík	
block	crimson_drawer	Crimson Drawer		Багровая Тумба	Cassetto cremisi	真紅の引き出し	Karmínový šuplík	
block	warped_drawer	Warped Drawer		Искажëнная Тумба	Cassetto distorto	歪んだ引き出し	Přízračný šuplík	
block	stone_drawer	Stone Drawer		Каменная Тумба	Cassetto di pietra	石の引き出し	Kamenný šuplík	
block	quartz_drawer	Quartz Drawer		Кварцевая Тумба	Cassetto di quarzo		Křemenný šuplík	
block	deepslate_drawer	Deepslate Drawer		Глубинносланцевая Тумба	Cassetto di ardesia profonda		Břidlicový šuplík	
block	iron_drawer	Iron Drawer		Железная Тумба	Cassetto di ferro		Železný šuplík	
block	copper_drawer	Copper Drawer		Медная Тумба	Cassetto di rame		Měděný šuplík	
block	gold_drawer	Golden Drawer		Золотая Тумба	Cassetto d'oro		Zlatý šuplík	
block	diamond_drawer	Diamond Drawer		Алмазная Тумба	Cassetto di diamante		Diamantový šuplík	
block	emerald_drawer	Emerald Drawer		Изумрудная Тумба	Cassetto di smeraldo		Smaragdový šuplík	
block	netherite_drawer	Netherite Drawer		Незеритовая Тумба	Cassetto di netherite		Netheritový šuplík	
block	oak_cupboard	Oak Cupboard		Дубовый Буфет	Credenza di quercia	オークの棚	Dubový regál	
block	spruce_cupboard	Spruce Cupboard		Еловый Буфет	Credenza di abete	トウヒの棚	Smrkový regál	
block	birch_cupboard	Birch Cupboard		Берëзовый Буфет	Credenza di betulla	シラカバの棚	Březový regál	
block	jungle_cupboard	Jungle Cupboard		Буфет из тропического дерева	Credenza della giungla	ジャングルの棚	Regál z tropikého dřeva	
block	acacia_cupboard	Acacia Cupboard		Акациевый Буфет	Credenza di acacia	アカシアの棚	Akáciový regál	
block	bamboo_cupboard	Bamboo Cupboard		Буфет из бамбука	Credenza di bambù		Bambusový regál	
block	dark_oak_cupboard	Dark Oak Cupboard		Буфет из тëмного дуба	Credenza di quercia scura	ダークオークの棚	Regál z tmavého dubu	
block	mangrove_cupboard	Mangrove Cupboard		Мангровый Буфет	Credenza di mangrovia		Kořenovníkový regál	
block	cherry_cupboard	Cherry Cupboard		Вишнёвый Буфет	Credenza di ciliegio		Třešňový regál	
block	crimson_cupboard	Crimson Cupboard		Багровый Буфет	Credenza cremisi	真紅の棚	Karmínový regál	
block	warped_cupboard	Warped Cupboard		Искажëнный Буфет	Credenza distorta	歪んだ棚	Přízračný regál	
block	stone_cupboard	Stone Cupboard		Каменный Буфет	Credenza di pietra	石の棚	Kamenný regál	
block	quartz_cupboard	Quartz Cupboard		Кварцевый Буфет	Credenza di quarzo		Křemenný regál	
block	deepslate_cupboard	Deepslate Cupboard		Глубинносланцевый Буфет	Credenza di ardesia profonda		Břidlicový regál	
block	iron_cupboard	Iron Cupboard		Железный Буфет	Credenza di ferro		Železný regál	
block	copper_cupboard	Copper Cupboard		Медный Буфет	Credenza di rame		Měděný regál	
block	gold_cupboard	Golden Cupboard		Золотой Буфет	Credenza d'oro		Zlatý regál	
block	diamond_cupboard	Diamond Cupboard		Алмазный Буфет	Credenza di diamante		Diamantový regál	
block	emerald_cupboard	Emerald Cupboard		Изумрудный Буфет	Credenza di smeraldo		Smaragdový regál	
block	netherite_cupboard	Netherite Cupboard		Незеритовый Буфет	Credenza di netherite		Netheritový regál	
block	oak_bench	Oak Bench		Дубовая Скамья	Panchina di quercia	オークの腰かけ	Dubová lavička	
block	spruce_bench	Spruce Bench		Еловая Скамья	Panchina di abete	トウヒの腰かけ	Smrková lavička	
block	birch_bench	Birch Bench		Берëзовая Скамья	Panchina di betulla	シラカバの腰かけ	Březová lavička	
block	jungle_bench	Jungle Bench		Скамья из тропического дерева	Panchina della giungla	ジャングルの腰かけ	Lavička z tropického dřeva	
block	acacia_bench	Acacia Bench		Акациевая Скамья	Panchina di acacia	アカシアの腰かけ	Akáciová lavička	
block	bamboo_bench	Bamboo Bench		Скамья из бамбука	Panchina di bambù		Bambusová lavička	
block	dark_oak_bench	Dark Oak Bench		Скамья из тëмного дуба	Panchina di quercia scura	ダークオークの腰かけ	Lavička z tmavého dubu	
block	mangrove_bench	Mangrove Bench		Мангровая Скамья	Panchina di mangrovia		Kořenovníková lavička	
block	cherry_bench	Cherry Bench		Вишнёвая Скамья	Panchina di ciliegio		Třešňová lavička	
block	crimson_bench	Crimson Bench		Багровая Скамья	Panchina cremisi	真紅の腰かけ	Karmínová lavička	
block	warped_bench	Warped Bench		Искажëнная Скамья	Panchina distorta	歪んだ腰かけ	Přízračná lavička	
block	stone_bench	Stone Bench		Каменная Скамья	Panchina di pietra	石の腰かけ	Kamenná lavička	
block	quartz_bench	Quartz Bench		Кварцевая Скамья	Panchina di quarzo		Křemenná lavička	
block	deepslate_bench	Deepslate Bench		Глубинносланцевая Скамья	Panchina di ardesia profonda		Břidlicová lavička	
block	iron_bench	Iron Bench		Железная Скамья	Panchina di ferro		Železná lavička	
block	copper_bench	Copper Bench		Медная Скамья	Panchina di rame		Měděná lavička	
block	gold_bench	Golden Bench		Золотая Скамья	Panchina d'oro		Zlatá lavička	
block	diamond_bench	Diamond Bench		Алмазная Скамья	Panchina di diamante		Diamantová lavička	
block	emerald_bench	Emerald Bench		Изумрудная Скамья	Panchina di smeraldo		Smaragdová lavička	
block	netherite_bench	Netherite Bench		Незеритовая Скамья	Panchina di netherite		Netheritová lavička	
block	oak_stool	Oak Stool		Дубовый Табурет	Sgabello di quercia		Dubová stolička	
block	spruce_stool	Spruce Stool		Еловый Табурет	Sgabello di abete		Smrková stolička	
block	birch_stool	Birch Stool		Берëзовый Табурет	Sgabello di betulla		Březová stolička	
block	jungle_stool	Jungle Stool		Табурет из тропического дерева	Sgabello della giungla		Stolička z tropického dřeva	
block	acacia_stool	Acacia Stool		Акациевый Табурет	Sgabello di acacia		Akáciová stolička	
block	bamboo_stool	Bamboo Stool		Табурет из бамбука	Sgabello di bambù		Bambusová stolička	
block	dark_oak_stool	Dark Oak Stool		Табурет из тëмного дуба	Sgabello di quercia scura		Stolička z tmavého dubu	
block	mangrove_stool	Mangrove Stool		Мангровый Табурет	Sgabello di mangrovia		Kořenovníková stolička	
block	cherry_stool	Cherry Stool		Вишнёвый Табурет	Sgabello di ciliegio		Třešňová stolička	
block	crimson_stool	Crimson Stool		Багровый Табурет	Sgabello cremisi		Karmínová stolička	
block	warped_stool	Warped Stool		Искажëнный Табурет	Sgabello distorto		Přízračná stolička	
block	stone_stool	Stone Stool		Каменный Табурет	Sgabello di pietra		Kamenná stolička	
block	quartz_stool	Quartz Stool		Кварцевый Табурет	Sgabello di quarzo		Křemenná stolička	
block	oak_barstool	Oak Bar Stool		Дубовый Барный стул	Sgabello da bar di quercia		Dubová barová stolička	
block	spruce_barstool	Spruce Bar Stool		Еловый Барный стул	Sgabello da bar di abete		Smrková barová stolička	
block	birch_barstool	Birch Bar Stool		Берëзовый Барный стул	Sgabello da bar di betulla		Březová barová stolička	
block	jungle_barstool	Jungle Bar Stool		Барный стул из тропического дерева	Sgabello da bar della giungla		Barová stolička z tropického dřeva	
block	acacia_barstool	Acacia Bar Stool		Акациевый Барный стул	Sgabello da bar di acacia		Akáciová barová stolička	
block	bamboo_barstool	Bamboo Bar Stool		Барный стул из бамбука	Sgabello da bar di bambù		Bambusová barová stolička	
block	dark_oak_barstool	Dark Oak Bar Stool		Барный стул из тëмного дуба	Sgabello da bar di quercia scura		Barová stolička z tmavého dubu	
block	mangrove_barstool	Mangrove Bar Stool		Мангровый Барный стул	Sgabello da bar di mangrovia		Kořenovníková barová stolička	
block	cherry_barstool	Cherry Bar Stool		Вишнёвый Барный стул	Sgabello da bar di ciliegio		Třešňová barová stolička	
block	crimson_barstool	Crimson Bar Stool		Багровый Барный стул	Sgabello da bar cremisi		Karmínová barová stolička	
block	warped_barstool	Warped Bar Stool		Искажëнный Барный стул	Sgabello da bar distorto		Přízračná barová stolička	
block	stone_barstool	Stone Bar Stool		Каменный Барный стул	Sgabello da bar di pietra		Kamenná barová stolička	
block	quartz_barstool	Quartz Bar Stool		Кварцевый Барный стул	Sgabello da bar di quarzo		Křemenná barová stolička	
block	oak_dinning_chair	Oak Dinning Chair		Дубовый Обеденный стул	Sedia di quercia		Dubová jídelní židle	
block	spruce_dinning_chair	Spruce Dinning Chair		Еловый Обеденный стул	Sedia di abete		Smrková jídelní židle	
block	birch_dinning_chair	Birch Dinning Chair		Берëзовый Обеденный стул	Sedia di betulla		Březová jídelní židle	
block	jungle_dinning_chair	Jungle Dinning Chair		Обеденный стул из тропического дерева	Sedia della giungla		Jídelní židle z tropického dřeva	
block	acacia_dinning_chair	Acacia Dinning Chair		Акациевый Обеденный стул	Sedia di acacia		Akáciová jídelní židle	
block	bamboo_dinning_chair	Bamboo Dinning Chair		Обеденный стул из бамбука	Sedia di bambù		Bambusová jídelní židle	
block	dark_oak_dinning_chair	Dark Oak Dinning Chair		Обеденный стул из тëмного дуба	Sedia di quercia scura		Jídelní židle z tmavého dubu	
block	mangrove_dinning_chair	Mangrove Dinning Chair		Мангровый Обеденный стул	Sedia di mangrovia		Kořenovníková jídelní židle	
block	cherry_dinning_chair	Cherry Dinning Chair		Вишнёвый Обеденный стул	Sedia di ciliegio		Třešňová jídelní židle	
block	crimson_dinning_chair	Crimson Dinning Chair		Багровый Обеденный стул	Sedia cremisi		Karmínová jídelní židle	
block	warped_dinning_chair	Warped Dinning Chair		Искажëнный Обеденный стул	Sedia distorta		Přízračná jídelní židle	
block	white_couch	White Couch	White Sofa	Белый Диван	Divano bianco	白色の二人掛けソファー	Bílá pohovka	supa monsi walo
block	orange_couch	Orange Couch	Orange Sofa	Оранжевый Диван	Divano arancione	橙色の二人掛けソファー	Oranžová pohovka	supa monsi pi loje jelo
block	magenta_couch	Magenta Couch	Magenta Sofa	Пурпурный Диван	Divano magenta	赤紫色の二人掛けソファー	Purpurová pohovka	supa monsi pi loje laso
block	light_blue_couch	Light Blue Couch	Light Blue Sofa	Голубой Диван	Divano azzurro	空色の二人掛けソファー	Světle modrá pohovka	supa monsi pi laso sewi
block	yellow_couch	Yellow Couch	Yellow Sofa	Жёлтый Диван	Divano giallo	黄色の二人掛けソファー	Žlutá pohovka	supa monsi jelo
block	lime_couch	Lime Couch	Lime Sofa	Лаймовый Диван	Divano lime	黄緑色の二人掛けソファー	Světle zelená pohovka	supa monsi pi laso jelo
block	pink_couch	Pink Couch	Pink Sofa	Розовый Диван	Divano rosa	桃色の二人掛けソファー	Růžová pohovka	supa monsi pi loje walo
block	gray_couch	Gray Couch	Gray Sofa	Серый Диван	Divano grigio	灰色の二人掛けソファー	Šedá pohovka	supa monsi pi pimeja walo
block	light_gray_couch	Light Gray Couch	Light Gray Sofa	Светло-серый Диван	Divano grigio chiaro	薄灰色の二人掛けソファー	Světle šedá pohovka	supa monsi pi walo pimeja
block	cyan_couch	Cyan Couch	Cyan Sofa	Бирюзовый Диван	Divano ciano	青緑色の二人掛けソファー	Azurová pohovka	supa monsi laso
block	purple_couch	Purple Couch	Purple Sofa	Фиолетовый Диван	Divano viola	紫色の二人掛けソファー	Fialová pohovka	supa monsi pi laso loje
block	blue_couch	Blue Couch	Blue Sofa	Синий Диван	Divano blu	青色の二人掛けソファー	Modrá pohovka	supa monsi pi laso telo
block	brown_couch	Brown Couch	Brown Sofa	Коричневый Диван	Divano marrone	茶色の二人掛けソファー	Hnědá pohovka	supa monsi pi kule ma
block	green_couch	Green Couch	Green Sofa	Зелёный Диван	Divano verde	緑色の二人掛けソファー	Zelená pohovka	supa monsi pi laso kasi
block	red_couch	Red Couch	Red Sofa	Красный Диван	Divano rosso	赤色の二人掛けソファー	Červená pohovka	supa monsi loje
block	black_couch	Black Couch	Black Sofa	Чёрный Диван	Divano nero	黒色の二人掛けソファー	Černá pohovka	supa monsi pimeja
block	oak_blinds	Oak Blinds		Дубовые Жалюзи	Persiane di quercia	オークのブラインド	Dubové žaluzie	
block	spruce_blinds	Spruce Blinds		Еловые Жалюзи	Persiane di abete	トウヒのブラインド	Smrkové žaluzie	
block	birch_blinds	Birch Blinds		Берëзовые Жалюзи	Persiane di betulla	シラカバのブラインド	Březové žaluzie	
block	jungle_blinds	Jungle Blinds		Жалюзи из тропического дерева	Persiane della giungla	ジャングルのブラインド	Žaluzie z tropického dřeva	
block	acacia_blinds	Acacia Blinds		Акациевые Жалюзи	Persiane di acacia	アカシアのブラインド	Akáciové žaluzie	
block	bamboo_blinds	Bamboo Blinds		Жалюзи из бамбука	Persiane di bambù		Bambusové žaluzie	
block	dark_oak_blinds	Dark Oak Blinds		Жалюзи из тëмного дуба	Persiane di quercia scura	ダークオークのブラインド	Žaluzie z tmavého dubu	
block	mangrove_blinds	Mangrove Blinds		Мангровые Жалюзи	Persiane di mangrovia		Kořenovníkové žaluzie	
block	cherry_blinds	Cherry Blinds		Вишнёвые Жалюзи	Persiane di ciliegio		Třešňové žaluzie	
block	crimson_blinds	Crimson Blinds		Багровые Жалюзи	Persiane cremisi	真紅のブラインド	Karmínové žaluzie	
block	warped_blinds	Warped Blinds		Искажëнные Жалюзи	Persiane distorte	歪んだブラインド	Přízračné žaluzie	
block	stone_blinds	Stone Blinds		Каменные Жалюзи	Persiane di pietra	石のブラインド	Kamenné žaluzie	
block	quartz_blinds	Quartz Blinds		Кварцевые Жалюзи	Persiane di quarzo		Křemenné žaluzie	
block	deepslate_blinds	Deepslate Blinds		Глубинносланцевые Жалюзи	Persiane di ardesia profonda		Břidlicové žaluzie	
block	iron_blinds	Iron Blinds		Железные Жалюзи	Persiane di ferro		Železné žaluzie	
block	copper_blinds	Copper Blinds		Медные Жалюзи	Persiane di rame		Měděné žaluzie	
block	gold_blinds	Golden Blinds		Золотые Жалюзи	Persiane d'oro		Zlaté žaluzie	
block	diamond_blinds	Diamond Blinds		Алмазные Жалюзи	Persiane di diamante		Diamantové žaluzie	
block	emerald_blinds	Emerald Blinds		Изумрудные Жалюзи	Persiane di smeraldo		Smaragdové žaluzie	
block	netherite_blinds	Netherite Blinds		Незеритовые Жалюзи	Persiane di netherite		Netheritové žaluzie	
block	oak_kitchen_cabinet	Oak Kitchen Cabinet		Дубовый Кухонный Ящик	Armadio da cucina di quercia		Dubová kuchyňská skříň	
block	spruce_kitchen_cabinet	Spruce Kitchen Cabinet		Еловый Кухонный Ящик	Armadio da cucina di abete		Smrková kuchyňská skříň	
block	birch_kitchen_cabinet	Birch Kitchen Cabinet		Берëзовый Кухонный Ящик	Armadio da cucina di betulla		Březová kuchyňská skříň	
block	jungle_kitchen_cabinet	Jungle Kitchen Cabinet		Кухонный Ящик из тропического дерева	Armadio da cucina della giungla		Kuchyňská skříň z tropcikého dřeva	
block	acacia_kitchen_cabinet	Acacia Kitchen Cabinet		Акациевый Кухонный Ящик	Armadio da cucina di acacia		Akáciová kuchyňská skříň	
block	bamboo_kitchen_cabinet	Bamboo Kitchen Cabinet		Кухонный Ящик из бамбука	Armadio da cucina di bambù		Bambusová kuchyňská skříň	
block	dark_oak_kitchen_cabinet	Dark Oak Kitchen Cabinet		Кухонный Ящик из тëмного дуба	Armadio da cucina di quercia scura		Kuchyňská skříň z tmavého dubu	
block	mangrove_kitchen_cabinet	Mangrove Kitchen Cabinet		Мангровый Кухонный Ящик	Armadio da cucina di mangrovia		Kořenovníková kuchyňská skříň	
block	cherry_kitchen_cabinet	Cherry Kitchen Cabinet		Вишнёвый Кухонный Ящик	Armadio da cucina di ciliegio		Třešňová kuchyňská skříň	
block	crimson_kitchen_cabinet	Crimson Kitchen Cabinet		Багровый Кухонный Ящик	Armadio da cucina cremisi		Karmínová kuchyňská skříň	
block	warped_kitchen_cabinet	Warped Kitchen Cabinet		Искажëнный Кухонный Ящик	Armadio da cucina distorto		Přízračná kuchyňská skříň	
block	stone_kitchen_cabinet	Stone Kitchen Cabinet		Каменный Кухонный Ящик	Armadio da cucina di pietra		Kamenná kuchyňská skříň	
block	quartz_kitchen_cabinet	Quartz Kitchen Cabinet		Кварцевый Кухонный Ящик	Armadio da cucina di quarzo		Křemenná kuchyňská skříň	
block	deepslate_kitchen_cabinet	Deepslate Kitchen Cabinet		Глубинносланцевый Кухонный Ящик	Armadio da cucina di ardesia scura		Břidlicová kuchyňská skříň	
block	iron_kitchen_cabinet	Iron Kitchen Cabinet		Железный Кухонный Ящик	Armadio da cucina di ferro		Železná kuchyňská skříň	
block	copper_kitchen_cabinet	Copper Kitchen Cabinet		Медный Кухонный Ящик	Armadio da cucina di rame		Měděná kuchyňská skříň	
block	gold_kitchen_cabinet	Golden Kitchen Cabinet		Золотой Кухонный Ящик	Armadio da cucina d'oro		Zlatá kuchyňská skříň	
block	diamond_kitchen_cabinet	Diamond Kitchen Cabinet		Алмазный Кухонный Ящик	Armadio da cucina di diamante		Diamantová kuchyňská skříň	
block	emerald_kitchen_cabinet	Emerald Kitchen Cabinet		Изумрудный Кухонный Ящик	Armadio da cucina di smeraldo		Smaragdová kuchyňská skříň	
block	netherite_kitchen_cabinet	Netherite Kitchen Cabinet		Незеритовый Кухонный Ящик	Armadio da cucina di netherite		Netheritová kuchyňská skříň	
block	oak_sink	Oak Sink		Дубовая Раковина			Dubové umyvadlo	
block	spruce_sink	Spruce Sink		Еловая Раковина			Smrkové umyvadlo	
block	birch_sink	Birch Sink		Берëзовая Раковина			Březové umyvadlo	
block	jungle_sink	Jungle Sink		Раковина из тропического дерева			Umyvadlo z tropického dřeva	
block	acacia_sink	Acacia Sink		Акациевая Раковина			Akáciové umyvadlo	
block	bamboo_sink	Bamboo Sink		Раковина из бамбука			Bambusové umyvadlo	
block	dark_oak_sink	Dark Oak Sink		Раковина из тëмного дуба			Umyvadlo z tmavého dubu	
block	mangrove_sink	Mangrove Sink		Мангровая Раковина			Kořenovníkové umyvadlo	
block	cherry_sink	Cherry Sink		Вишнёвая Раковина			Třešňové umyvadlo	
block	crimson_sink	Crimson Sink		Багровая Раковина			Karmínové umyvadlo	
block	warped_sink	Warped Sink		Искажëнная Раковина			Přízračné umyvadlo	
block	stone_sink	Stone Sink		Каменная Раковина			Kamenné umyvadlo	
block	quartz_sink	Quartz Sink		Кварцевая Раковина			Křemenné umyvadlo	
block	deepslate_sink	Deepslate Sink		Глубинносланцевая Раковина			Břidlicové umyvadlo	
block	iron_sink	Iron Sink		Железная Раковина			Železné umyvadlo	
block	copper_sink	Copper Sink		Медная Раковина			Měděné umyvadlo	
block	gold_sink	Golden Sink		Золотая Раковина			Zlaté umyvadlo	
block	diamond_sink	Diamond Sink		Алмазная Раковина			Diamantové umyvadlo	
block	emerald_sink	Emerald Sink		Изумрудная Раковина			Smaragdové umyvadlo	
block	netherite_sink	Netherite Sink		Незеритовая Раковина			Netheritové umyvadlo	
block	oak_toilet	Oak Toilet		Дубовый Унитаз			Dubový záchod	
block	spruce_toilet	Spruce Toilet		Еловый Унитаз			Smrkový záchod	
block	birch_toilet	Birch Toilet		Берëзовый Унитаз			Březový záchod	
block	jungle_toilet	Jungle Toilet		Унитаз из тропического дерева			Záchod z tropického dřeva	
block	acacia_toilet	Acacia Toilet		Акациевый Унитаз			Akáciový záchod	
block	bamboo_toilet	Bamboo Toilet		Унитаз из бамбука			Bambusový záchod	
block	dark_oak_toilet	Dark Oak Toilet		Унитаз из тëмного дуба			Záchod z tmavého dubu	
block	mangrove_toilet	Mangrove Toilet		Мангровый Унитаз			Kořenovníkový záchod	
block	cherry_toilet	Cherry Toilet		Вишнёвый Унитаз			Třešňový záchod	
