Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13
block	deepslate_shelf	Deepslate Shelf		Глубинносланцевая Полка	Mensola di ardesia profonda		Břidlicová police	supa sinpin pi kiwen anpa	Tiefenschieferregal	Repisa de Pizarra Abismal	Estantería de Pizarra Profunda	Estantería de Pizarra Profunda
block	iron_shelf	Iron Shelf		Железная Полка	Mensola di ferro		Železná police	supa sinpin pi kiwen walo	Eisenregal	Repisa de Hierro	Estantería de Hierro	Estantería de Hierro
block	copper_shelf	Copper Shelf		Медная Полка	Mensola di rame		Měděná police	supa sinpin pi kiwen ante	Kupferregal	Repisa de Cobre	Estantería de Cobre	Estantería de Cobre
block	gold_shelf	Golden Shelf		Золотая Полка	Mensola d'oro		Zlatá police	supa sinpin pi kiwen jelo	Goldregal	Repisa de Oro	Estantería de Oro	Estantería de Oro
block	diamond_shelf	Diamond Shelf		Алмазная Полка	Mensola di diamante		Diamantová police	supa sinpin pi kiwen laso	Diamantregal	Repisa de Diamante	Estantería de Diamante	Estantería de Diamante
block	emerald_shelf	Emerald Shelf		Изумрудная Полка	Mensola di smeraldo		Smaragdová police	supa sinpin pi kiwen esun	Smaragdregal	Repisa de Esmeralda	Estantería de Esmeralda	Estantería de Esmeralda
block	netherite_shelf	Netherite Shelf		Незеритовая Полка	Mensola di netherite		Netheritová police	supa sinpin pi mani Netherite	Netheritregal	Repisa de Netherita	Estantería de Netherita	Estantería de Netherita
block	oak_cabinet	Oak Cabinet		Дубовый Ящик	Comodino di quercia	オークのキャビネット	Dubová skříňka		Eichenholzkabinett	Gabinete de Roble	Gabinete de Roble	Gabinete de Roble
block	spruce_cabinet	Spruce Cabinet		Еловый Ящик	Comodino di abete	トウヒのキャビネット	Smrková skříňka		Fichtenholzkabinett	Gabinete de Abeto	Gabinete de Abeto	Gabinete de Abeto
block	birch_cabinet	Birch Cabinet		Берëзовый Ящик	Comodino di betulla	シラカバのキャビネット	Březová skříňka		Birkenholzkabinett	Gabinete de Abedul	Gabinete de Abedul	Gabinete de Abedul
block	jungle_cabinet	Jungle Cabinet		Ящик из тропического дерева	Comodino della giungla	ジャングルのキャビネット	Skříňka z tropického dřeva		Tropenholzkabinett	Gabinete Jungla	Gabinete Jungla	Gabinete Jungla
block	acacia_cabinet	Acacia Cabinet		Акациевый Ящик	Comodino di acacia	アカシアのキャビネット	Akáciová skříňka		Akazienholzkabinett	Gabinete de Acacia	Gabinete de Acacia	Gabinete de Acacia
block	bamboo_cabinet	Bamboo Cabinet		Ящик из бамбука	Comodino di bambù		Bambusová skříňka		Bambuskabinett	Gabinete de Bambú	Gabinete de Bambú	Gabinete de Bambú
block	dark_oak_cabinet	Dark Oak Cabinet		Ящик из тëмного дуба	Comodino di quercia scura	ダークオークのキャビネット	Skříňka z tmavého dubu		Schwarzeichenholzkabinett	Gabinete de Roble Oscuro	Gabinete de Roble Oscuro	Gabinete de Roble Oscuro
block	mangrove_cabinet	Mangrove Cabinet		Мангровый Ящик	Comodino di mangrovia		Kořenovníková skříňka		Mangrovenholzkabinett	Gabinete de Mangle	Gabinete de Mangle	Gabinete de Mangle
block	cherry_cabinet	Cherry Cabinet		Вишнёвый Ящик	Comodino di ciliegio		Třešňová skříňka		Kirschholzkabinett	Gabinete de Cereza	Gabinete de Cereza	Gabinete de Cereza
block	crimson_cabinet	Crimson Cabinet		Багровый Ящик	Comodino cremisi	真紅のキャビネット	Karmínová skříňka		Karmesinkabinett	Gabinete Carmesí	Gabinete Carmesí	Gabinete Carmesí
block	warped_cabinet	Warped Cabinet		Искажëнный Ящик	Comodino distorto	歪んだキャビネット	Přízračná skříňka		Wirrkabinett	Gabinete Distorsionado	Gabinete Distorsionado	Gabinete Distorsionado
block	stone_cabinet	Stone Cabinet		Каменный Ящик	Comodino di pietra	石のキャビネット	Kamenná skříňka		Steinkabinett	Gabinete de Piedra	Gabinete de Piedra	Gabinete de Piedra
block	quartz_cabinet	Quartz Cabinet		Кварцевый Ящик	Comodino di quarzo		Křemenná skříňka		Quarzkabinett	Gabinete de Cuarzo	Gabinete de Cuarzo	Gabinete de Cuarzo
block	deepslate_cabinet	Deepslate Cabinet		Глубинносланцевый Ящик	Comodino di ardesia profonda		Břidlicová skříňka		Tiefenschieferkabinett	Gabinete de Pizarra Abismal	Gabinete de Pizarra Profunda	Gabinete de Pizarra Profunda
block	iron_cabinet	Iron Cabinet		Железный Ящик	Comodino di ferro		Železná skříňka		Eisenkabinett	Gabinete de Hierro	Gabinete de Hierro	Gabinete de Hierro
block	copper_cabinet	Copper Cabinet		Медный Ящик	Comodino di rame		Měděná skříňka		Kupferkabinett	Gabinete de Cobre	Gabinete de Cobre	Gabinete de Cobre
block	gold_cabinet	Golden Cabinet		Золотой Ящик	Comodino d'oro		Zlatá skříňka		Goldkabinett	Gabinete de Oro	Gabinete de Oro	Gabinete de Oro
block	diamond_cabinet	Diamond Cabinet		Алмазный Ящик	Comodino di diamante		Diamantová skříňka		Diamantkabinett	Gabinete de Diamante	Gabinete de Diamante	Gabinete de Diamante
block	emerald_cabinet	Emerald Cabinet		Изумрудный Ящик	Comodino di smeraldo		Smaragdová skříňka		Smaragdkabinett	Gabinete de Esmeralda	Gabinete de Esmeralda	Gabinete de Esmeralda
block	netherite_cabinet	Netherite Cabinet		Незеритовый Ящик	Comodino di netherite		Netheritová skříňka		Netheritkabinett	Gabinete de Netherita	Gabinete de Netherita	Gabinete de Netherita
block	oak_drawer	Oak Drawer		Дубовая Тумба	Cassetto di quercia	オークの引き出し	Dubový šuplík		Eichenholzschublade	Cajón de Roble	Cajón de Roble	Cajonera de Roble
block	spruce_drawer	Spruce Drawer		Еловая Тумба	Cassetto di abete	トウヒの引き出し	Smrkový šuplík		Fichtenholzschublade	Cajón de Abeto	Cajón de Abeto	Cajonera de Abeto
block	birch_drawer	Birch Drawer		Берëзовая Тумба	Cassetto di betulla	シラカバの引き出し	Březový šuplík		Birkenholzschublade	Cajón de Abedul	Cajón de Abedul	Cajonera de Abedul
block	jungle_drawer	Jungle Drawer		Тумба из тропического дерева	Cassetto della giungla	ジャングルの引き出し	Šuplík z tropického dřeva		Tropenholzschublade	Cajón Jungla	Cajón Jungla	Cajonera Jungla
block	acacia_drawer	Acacia Drawer		Акациевая Тумба	Cassetto di acacia	アカシアの引き出し	Akáciový šuplík		Akazienholzschublade	Cajón de Acacia	Cajón de Acacia	Cajonera de Acacia
block	bamboo_drawer	Bamboo Drawer		Тумба из бамбука	Cassetto di bambù		Bambusový šuplík		Bambusschublade	Cajón de Bambú	Cajón de Bambú	Cajonera de Bambú
block	dark_oak_drawer	Dark Oak Drawer		Тумба из тëмного дуба	Cassetto di quercia scura	ダークオークの引き出し	Šuplík z tmavého dubu		Schwarzeichenschublade	Cajón de Roble Oscuro	Cajón de Roble Oscuro	Cajonera de Roble Oscuro
block	mangrove_drawer	Mangrove Drawer		Мангровая Тумба	Cassetto di mangrovia		Kořenovníkový šuplík		Mangrovenholzschublade	Cajón de Mangle	Cajón de Mangle	Cajonera de Mangle
block	cherry_drawer	Cherry Drawer		Вишнёвая Тумба	Cassetto di ciliegio		Třešňový šuplík		Kirschholzschublade	Cajón de Cereza	Cajón de Cereza	Cajonera de Cereza
block	crimson_drawer	Crimson Drawer		Багровая Тумба	Cassetto cremisi	真紅の引き出し	Karmínový šuplík		Karmesinschublade	Cajón Carmesí	Cajón Carmesí	Cajonera Carmesí
block	warped_drawer	Warped Drawer		Искажëнная Тумба	Cassetto distorto	歪んだ引き出し	Přízračný šuplík		Wirrschublade	Cajón Distorsionado	Cajón Distorsionado	Cajonera Distorsionado
block	stone_drawer	Stone Drawer		Каменная Тумба	Cassetto di pietra	石の引き出し	Kamenný šuplík		Steinschublade	Cajón de Piedra	Cajón de Piedra	Cajonera de Piedra
block	quartz_drawer	Quartz Drawer		Кварцевая Тумба	Cassetto di quarzo		Křemenný šuplík		Quarzschublade	Cajón de Cuarzo	Cajón de Cuarzo	Cajonera de Cuarzo
block	deepslate_drawer	Deepslate Drawer		Глубинносланцевая Тумба	Cassetto di ardesia profonda		Břidlicový šuplík		Tiefenschieferschublade	Cajón de Pizarra Abismal	Cajón de Pizarra Profunda	Cajonera de Pizarra Profunda
block	iron_drawer	Iron Drawer		Железная Тумба	Cassetto di ferro		Železný šuplík		Eisenschublade	Cajón de Hierro	Cajón de Hierro	Cajonera de Hierro
block	copper_drawer	Copper Drawer		Медная Тумба	Cassetto di rame		Měděný šuplík		Kupferschublade	Cajón de Cobre	Cajón de Cobre	Cajonera de Cobre
block	gold_drawer	Golden Drawer		Золотая Тумба	Cassetto d'oro		Zlatý šuplík		Goldschublade	Cajón de Oro	Cajón de Oro	Cajonera de Oro
block	diamond_drawer	Diamond Drawer		Алмазная Тумба	Cassetto di diamante		Diamantový šuplík		Diamantschublade	Cajón de Diamante	Cajón de Diamante	Cajonera de Diamante
block	emerald_drawer	Emerald Drawer		Изумрудная Тумба	Cassetto di smeraldo		Smaragdový šuplík		Smaragdschublade	Cajón de Esmeralda	Cajón de Esmeralda	Cajonera de Esmeralda
block	netherite_drawer	Netherite Drawer		Незеритовая Тумба	Cassetto di netherite		Netheritový šuplík		Netheritschublade	Cajón de Netherita	Cajón de Netherita	Cajonera de Netherita
block	oak_cupboard	Oak Cupboard		Дубовый Буфет	Credenza di quercia	オークの棚	Dubový regál		Eichenholzschrank	Estante de Roble	Estante de Roble	Estante de Roble
block	spruce_cupboard	Spruce Cupboard		Еловый Буфет	Credenza di abete	トウヒの棚	Smrkový regál		Fichtenholzschrank	Estante de Abeto	Estante de Abeto	Estante de Abeto
block	birch_cupboard	Birch Cupboard		Берëзовый Буфет	Credenza di betulla	シラカバの棚	Březový regál		Birkenholzschrank	Estante de Abedul	Estante de Abedul	Estante de Abedul
block	jungle_cupboard	Jungle Cupboard		Буфет из тропического дерева	Credenza della giungla	ジャングルの棚	Regál z tropikého dřeva		Tropenholzschrank	Estante Jungla	Estante Jungla	Estante Jungla
block	acacia_cupboard	Acacia Cupboard		Акациевый Буфет	Credenza di acacia	アカシアの棚	Akáciový regál		Akazienholzschrank	Estante de Acacia	Estante de Acacia	Estante de Acacia
block	bamboo_cupboard	Bamboo Cupboard		Буфет из бамбука	Credenza di bambù		Bambusový regál		Bambusschrank	Estante de Bambú	Estante de Bambú	Estante de Bambú
block	dark_oak_cupboard	Dark Oak Cupboard		Буфет из тëмного дуба	Credenza di quercia scura	ダークオークの棚	Regál z tmavého dubu		Schwarzeichenholzschrank	Estante de Roble Oscuro	Estante de Roble Oscuro	Estante de Roble Oscuro
block	mangrove_cupboard	Mangrove Cupboard		Мангровый Буфет	Credenza di mangrovia		Kořenovníkový regál		Mangrovenholzschrank	Estante de Mangle	Estante de Mangle	Estante de Mangle
block	cherry_cupboard	Cherry Cupboard		Вишнёвый Буфет	Credenza di ciliegio		Třešňový regál		Kirschholzschrank	Estante de Cereza	Estante de Cereza	Estante de Cereza
block	crimson_cupboard	Crimson Cupboard		Багровый Буфет	Credenza cremisi	真紅の棚	Karmínový regál		Karmesinschrank	Estante Carmesí	Estante Carmesí	Estante Carmesí
block	warped_cupboard	Warped Cupboard		Искажëнный Буфет	Credenza distorta	歪んだ棚	Přízračný regál		Wirrschrank	Estante Distorsionado	Estante Distorsionado	Estante Distorsionado
block	stone_cupboard	Stone Cupboard		Каменный Буфет	Credenza di pietra	石の棚	Kamenný regál		Steinschrank	Estante de Piedra	Estante de Piedra	Estante de Piedra
block	quartz_cupboard	Quartz Cupboard		Кварцевый Буфет	Credenza di quarzo		Křemenný regál		Quarzschrank	Estante de Cuarzo	Estante de Cuarzo	Estante de Cuarzo
block	deepslate_cupboard	Deepslate Cupboard		Глубинносланцевый Буфет	Credenza di ardesia profonda		Břidlicový regál		Tiefenschieferschrank	Estante de Pizarra Abismal	Estante de Pizarra Profunda	Estante de Pizarra Profunda
block	iron_cupboard	Iron Cupboard		Железный Буфет	Credenza di ferro		Železný regál		Eisenschrank	Estante de Hierro	Estante de Hierro	Estante de Hierro
block	copper_cupboard	Copper Cupboard		Медный Буфет	Credenza di rame		Měděný regál		Kupferschrank	Estante de Cobre	Estante de Cobre	Estante de Cobre
block	gold_cupboard	Golden Cupboard		Золотой Буфет	Credenza d'oro		Zlatý regál		Goldschrank	Estante de Oro	Estante de Oro	Estante de Oro
block	diamond_cupboard	Diamond Cupboard		Алмазный Буфет	Credenza di diamante		Diamantový regál		Diamantschrank	Estante de Diamante	Estante de Diamante	Estante de Diamante
block	emerald_cupboard	Emerald Cupboard		Изумрудный Буфет	Credenza di smeraldo		Smaragdový regál		Smaragdschrank	Estante de Esmeralda	Estante de Esmeralda	Estante de Esmeralda
block	netherite_cupboard	Netherite Cupboard		Незеритовый Буфет	Credenza di netherite		Netheritový regál		Netheritschrank	Estante de Netherita	Estante de Netherita	Estante de Netherita
block	oak_bench	Oak Bench		Дубовая Скамья	Panchina di quercia	オークの腰かけ	Dubová lavička	supa monsi palisa pi kasi kili	Eichenholzbank	Banco de Roble	Banco de Roble	Banco de Roble
block	spruce_bench	Spruce Bench		Еловая Скамья	Panchina di abete	トウヒの腰かけ	Smrková lavička	supa monsi palisa pi kasi lete	Fichtenholzbank	Banco de Abeto	Banco de Abeto	Banco de Abeto
block	birch_bench	Birch Bench		Берëзовая Скамья	Panchina di betulla	シラカバの腰かけ	Březová lavička	supa monsi palisa pi kasi walo	Birkenholzbank	Banco de Abedul	Banco de Abedul	Banco de Abedul
block	jungle_bench	Jungle Bench		Скамья из тропического дерева	Panchina della giungla	ジャングルの腰かけ	Lavička z tropického dřeva	supa monsi palisa pi kasi suli	Tropenholzbank	Banco Jungla	Banco Jungla	Banco Jungla
block	acacia_bench	Acacia Bench		Акациевая Скамья	Panchina di acacia	アカシアの腰かけ	Akáciová lavička	supa monsi palisa pi kasi seli	Akazienholzbank	Banco de Acacia	Banco de Acacia	Banco de Acacia
block	bamboo_bench	Bamboo Bench		Скамья из бамбука	Panchina di bambù		Bambusová lavička	supa monsi palisa pi kasi palisa	Bambusbank	Banco de Bambú	Banco de Bambú	Banco de Bambú
block	dark_oak_bench	Dark Oak Bench		Скамья из тëмного дуба	Panchina di quercia scura	ダークオークの腰かけ	Lavička z tmavého dubu	supa monsi palisa pi kasi pimeja	Schwarzeichenholzbank	Banco de Roble Oscuro	Banco de Roble Oscuro	Banco de Roble Oscuro
block	mangrove_bench	Mangrove Bench		Мангровая Скамья	Panchina di mangrovia		Kořenovníková lavička	supa monsi palisa pi kasi telo	Mangrovenholzbank	Banco de Mangle	Banco de Mangle	Banco de Mangle
block	cherry_bench	Cherry Bench		Вишнёвая Скамья	Panchina di ciliegio		Třešňová lavička	supa monsi palisa pi kasi suwi	Kirschholzbank	Banco de Cereza	Banco de Cereza	Banco de Cereza
block	crimson_bench	Crimson Bench		Багровая Скамья	Panchina cremisi	真紅の腰かけ	Karmínová lavička	supa monsi palisa pi soko loje	Karmesinbank	Banco Carmesí	Banco Carmesí	Banco Carmesí
block	warped_bench	Warped Bench		Искажëнная Скамья	Panchina distorta	歪んだ腰かけ	Přízračná lavička	supa monsi palisa pi soko laso	Wirrbank	Banco Distorsionado	Banco Distorsionado	Banco Distorsionado
block	stone_bench	Stone Bench		Каменная Скамья	Panchina di pietra	石の腰かけ	Kamenná lavička	supa monsi palisa kiwen	Steinbank	Banco de Piedra	Banco de Piedra	Banco de Piedra
block	quartz_bench	Quartz Bench		Кварцевая Скамья	Panchina di quarzo		Křemenná lavička	supa monsi palisa pi kiwen walo seli	Quarzbank	Banco de Cuarzo	Banco de Cuarzo	Banco de Cuarzo
block	deepslate_bench	Deepslate Bench		Глубинносланцевая Скамья	Panchina di ardesia profonda		Břidlicová lavička	supa monsi palisa pi kiwen anpa	Tiefenschieferbank	Banco de Pizarra Abismal	Banco de Pizarra Profunda	Banco de Pizarra Profunda
block	iron_bench	Iron Bench		Железная Скамья	Panchina di ferro		Železná lavička	supa monsi palisa pi kiwen walo	Eisenbank	Banco de Hierro	Banco de Hierro	Banco de Hierro
block	copper_bench	Copper Bench		Медная Скамья	Panchina di rame		Měděná lavička	supa monsi palisa pi kiwen ante	Kupferbank	Banco de Cobre	Banco de Cobre	Banco de Cobre
block	gold_bench	Golden Bench		Золотая Скамья	Panchina d'oro		Zlatá lavička	supa monsi palisa pi kiwen jelo	Goldbank	Banco de Oro	Banco de Oro	Banco de Oro
block	diamond_bench	Diamond Bench		Алмазная Скамья	Panchina di diamante		Diamantová lavička	supa monsi palisa pi kiwen laso	Diamantbank	Banco de Diamante	Banco de Diamante	Banco de Diamante
block	emerald_bench	Emerald Bench		Изумрудная Скамья	Panchina di smeraldo		Smaragdová lavička	supa monsi palisa pi kiwen esun	Smaragdbank	Banco de Esmeralda	Banco de Esmeralda	Banco de Esmeralda
block	netherite_bench	Netherite Bench		Незеритовая Скамья	Panchina di netherite		Netheritová lavička	supa monsi palisa pi mani Netherite	Netheritbank	Banco de Netherita	Banco de Netherita	Banco de Netherita
block	oak_stool	Oak Stool		Дубовый Табурет	Sgabello di quercia		Dubová stolička		Eichenholzhocker	Piso de Roble	Taburete de Roble	Taburete de Roble
block	spruce_stool	Spruce Stool		Еловый Табурет	Sgabello di abete		Smrková stolička		Fichtenholzhocker	Piso de Abeto	Taburete de Abeto	Taburete de Abeto
block	birch_stool	Birch Stool		Берëзовый Табурет	Sgabello di betulla		Březová stolička		Birkenholzhocker	Piso de Abedul	Taburete de Abedul	Taburete de Abedul
block	jungle_stool	Jungle Stool		Табурет из тропического дерева	Sgabello della giungla		Stolička z tropického dřeva		Tropenholzhocker	Piso Jungla	Taburete Jungla	Taburete Jungla
block	acacia_stool	Acacia Stool		Акациевый Табурет	Sgabello di acacia		Akáciová stolička		Akazienholzhocker	Piso de Acacia	Taburete de Acacia	Taburete de Acacia
block	bamboo_stool	Bamboo Stool		Табурет из бамбука	Sgabello di bambù		Bambusová stolička		Bambushocker	Piso de Bambú	Taburete de Bambú	Taburete de Bambú
block	dark_oak_stool	Dark Oak Stool		Табурет из тëмного дуба	Sgabello di quercia scura		Stolička z tmavého dubu		Schwarzeichenholzhocker	Piso de Roble Oscuro	Taburete de Roble Oscuro	Taburete de Roble Oscuro
block	mangrove_stool	Mangrove Stool		Мангровый Табурет	Sgabello di mangrovia		Kořenovníková stolička		Mangrovenholzhocker	Piso de Mangle	Taburete de Mangle	Taburete de Mangle
block	cherry_stool	Cherry Stool		Вишнёвый Табурет	Sgabello di ciliegio		Třešňová stolička		Kirschholzhocker	Piso de Cereza	Taburete de Cereza	Taburete de Cereza
block	crimson_stool	Crimson Stool		Багровый Табурет	Sgabello cremisi		Karmínová stolička		Karmesinhocker	Piso Carmesí	Taburete Carmesí	Taburete Carmesí
block	warped_stool	Warped Stool		Искажëнный Табурет	Sgabello distorto		Přízračná stolička		Wirrhocker	Piso Distorsionado	Taburete Distorsionado	Taburete Distorsionado
block	stone_stool	Stone Stool		Каменный Табурет	Sgabello di pietra		Kamenná stolička		Steinhocker	Piso de Piedra	Taburete de Piedra	Taburete de Piedra
block	quartz_stool	Quartz Stool		Кварцевый Табурет	Sgabello di quarzo		Křemenná stolička		Quarzhocker	Piso de Cuarzo	Taburete de Cuarzo	Taburete de Cuarzo
